"species","predictor_set","algorithm","metric","comparison","Z","p_adj","significant"
"sp3_generalist_rare","pc5","rf","rmse_truth","uniform+ - random",11.3752,1.667e-29,TRUE
"sp3_generalist_rare","pc5","rf","auc","uniform+ - buffer",-1.7931,0.07296,FALSE
"sp3_generalist_rare","pc5","rf","auc","uniform+ - random",7.3829,3.098e-13,TRUE
"sp3_generalist_rare","pc5","rf","tss","uniform+ - buffer",-0.7004,0.4837,FALSE
"sp3_generalist_rare","pc5","rf","tss","uniform+ - random",7.5364,9.664e-14,TRUE
"sp3_generalist_rare","pc5","rf","boyce","uniform+ - buffer",-1.3557,0.3504,FALSE
"sp3_generalist_rare","pc5","rf","boyce","uniform+ - random",-1.7309,0.2504,FALSE
"sp3_generalist_rare","pc5","brt","cor_truth","uniform+ - buffer",-7.8766,6.73e-15,TRUE
"sp3_generalist_rare","pc5","brt","cor_truth","uniform+ - random",-9.3865,1.861e-20,TRUE
"sp3_generalist_rare","pc5","brt","rmse_truth","uniform+ - buffer",5.9293,6.085e-09,TRUE
"sp3_generalist_rare","pc5","brt","rmse_truth","uniform+ - random",11.3131,3.392e-29,TRUE
"sp3_generalist_rare","pc5","brt","auc","uniform+ - buffer",-3.4446,0.000572,TRUE
"sp3_generalist_rare","pc5","brt","auc","uniform+ - random",5.6577,3.069e-08,TRUE
"sp3_generalist_rare","pc5","brt","tss","uniform+ - buffer",-1.4781,0.1394,FALSE
"sp3_generalist_rare","pc5","brt","tss","uniform+ - random",6.7349,3.282e-11,TRUE
"sp3_generalist_rare","pc5","brt","boyce","uniform+ - buffer",-3.7265,0.0005824,TRUE
"sp3_generalist_rare","pc5","brt","boyce","uniform+ - random",-2.3984,0.03293,TRUE
"sp3_generalist_rare","pc5","maxent","cor_truth","uniform+ - buffer",-8.7696,5.377e-18,TRUE
"sp3_generalist_rare","pc5","maxent","cor_truth","uniform+ - random",-8.452,5.727e-17,TRUE
"sp3_generalist_rare","pc5","maxent","rmse_truth","uniform+ - buffer",8.8364,2.966e-18,TRUE
"sp3_generalist_rare","pc5","maxent","rmse_truth","uniform+ - random",7.7154,2.411e-14,TRUE
"sp3_generalist_rare","pc5","maxent","auc","uniform+ - buffer",-0.9967,0.3189,FALSE
"sp3_generalist_rare","pc5","maxent","auc","uniform+ - random",7.5222,1.078e-13,TRUE
"sp3_generalist_rare","pc5","maxent","tss","uniform+ - buffer",0.2777,0.7813,FALSE
"sp3_generalist_rare","pc5","maxent","tss","uniform+ - random",7.9735,4.627e-15,TRUE
"sp3_generalist_rare","pc5","maxent","boyce","uniform+ - buffer",-0.7297,0.4656,FALSE
"sp3_generalist_rare","pc5","maxent","boyce","uniform+ - random",1.213,0.4502,FALSE
"sp3_generalist_rare","raw12","glm","cor_truth","uniform+ - buffer",-6.8247,1.763e-11,TRUE
"sp3_generalist_rare","raw12","glm","cor_truth","uniform+ - random",-10.4384,4.967e-25,TRUE
"sp3_generalist_rare","raw12","glm","rmse_truth","uniform+ - buffer",5.7382,9.566e-09,TRUE
"sp3_generalist_rare","raw12","glm","rmse_truth","uniform+ - random",11.4834,4.797e-30,TRUE
"sp3_generalist_rare","raw12","glm","auc","uniform+ - buffer",-5.6934,2.491e-08,TRUE
"sp3_generalist_rare","raw12","glm","auc","uniform+ - random",3.0038,0.002666,TRUE
"sp3_generalist_rare","raw12","glm","tss","uniform+ - buffer",-5.07,7.958e-07,TRUE
"sp3_generalist_rare","raw12","glm","tss","uniform+ - random",3.11,0.001871,TRUE
"sp3_generalist_rare","raw12","glm","boyce","uniform+ - buffer",0.7481,0.4544,FALSE
"sp3_generalist_rare","raw12","glm","boyce","uniform+ - random",-1.3833,0.3331,FALSE
"sp3_generalist_rare","raw12","gam","cor_truth","uniform+ - buffer",-6.9651,6.565e-12,TRUE
"sp3_generalist_rare","raw12","gam","cor_truth","uniform+ - random",-10.298,2.158e-24,TRUE
"sp3_generalist_rare","raw12","gam","rmse_truth","uniform+ - buffer",5.7636,1.647e-08,TRUE
"sp3_generalist_rare","raw12","gam","rmse_truth","uniform+ - random",11.4995,3.98e-30,TRUE
"sp3_generalist_rare","raw12","gam","auc","uniform+ - buffer",-1.4524,0.1464,FALSE
"sp3_generalist_rare","raw12","gam","auc","uniform+ - random",7.4946,1.33e-13,TRUE
"sp3_generalist_rare","raw12","gam","tss","uniform+ - buffer",-0.7292,0.4659,FALSE
"sp3_generalist_rare","raw12","gam","tss","uniform+ - random",7.4575,1.763e-13,TRUE
"sp3_generalist_rare","raw12","gam","boyce","uniform+ - buffer",1.19,0.234,FALSE
"sp3_generalist_rare","raw12","gam","boyce","uniform+ - random",-2.1913,0.05687,FALSE
"sp3_generalist_rare","raw12","rf","cor_truth","uniform+ - buffer",-7.5037,1.241e-13,TRUE
"sp3_generalist_rare","raw12","rf","cor_truth","uniform+ - random",-9.7594,5.045e-22,TRUE
"sp3_generalist_rare","raw12","rf","rmse_truth","uniform+ - buffer",5.7843,1.457e-08,TRUE
"sp3_generalist_rare","raw12","rf","rmse_truth","uniform+ - random",11.4788,5.059e-30,TRUE
"sp3_generalist_rare","raw12","rf","auc","uniform+ - buffer",-2.9152,0.003555,TRUE
"sp3_generalist_rare","raw12","rf","auc","uniform+ - random",6.6854,4.605e-11,TRUE
"sp3_generalist_rare","raw12","rf","tss","uniform+ - buffer",-2.3444,0.01906,TRUE
"sp3_generalist_rare","raw12","rf","tss","uniform+ - random",6.6301,6.709e-11,TRUE
"sp3_generalist_rare","raw12","rf","boyce","uniform+ - buffer",-0.4788,0.6321,FALSE
"sp3_generalist_rare","raw12","rf","boyce","uniform+ - random",1.2038,0.4573,FALSE
"sp3_generalist_rare","raw12","brt","cor_truth","uniform+ - buffer",-8.795,4.293e-18,TRUE
"sp3_generalist_rare","raw12","brt","cor_truth","uniform+ - random",-8.4681,4.988e-17,TRUE
"sp3_generalist_rare","raw12","brt","rmse_truth","uniform+ - buffer",5.8625,9.117e-09,TRUE
"sp3_generalist_rare","raw12","brt","rmse_truth","uniform+ - random",11.4005,1.247e-29,TRUE
